"","ID","Date","Cases","Cases_New","Type","Age","Sex","Source"
"1","CN",2019-12-31,27,27,"Active","Total","Total","JRC"
"2","CN",2019-12-31,27,27,"Confirmed","Total","Total","JRC"
"3","CN",2019-12-31,NA,NA,"Deaths","Total","Total","JRC"
"4","CN",2020-01-01,27,0,"Active","Total","Total","JRC"
"5","CN",2020-01-01,27,0,"Confirmed","Total","Total","JRC"
"6","CN",2020-01-01,NA,NA,"Deaths","Total","Total","JRC"
"7","CN",2020-01-02,27,0,"Active","Total","Total","JRC"
"8","CN",2020-01-02,27,0,"Confirmed","Total","Total","JRC"
"9","CN",2020-01-02,NA,NA,"Deaths","Total","Total","JRC"
"10","CN",2020-01-03,44,17,"Active","Total","Total","JRC"
"11","CN",2020-01-03,44,17,"Confirmed","Total","Total","JRC"
"12","CN",2020-01-03,NA,NA,"Deaths","Total","Total","JRC"
"13","CN",2020-01-04,44,0,"Active","Total","Total","JRC"
"14","CN",2020-01-04,44,0,"Confirmed","Total","Total","JRC"
"15","CN",2020-01-04,NA,NA,"Deaths","Total","Total","JRC"
"16","CN",2020-01-05,59,15,"Active","Total","Total","JRC"
"17","CN",2020-01-05,59,15,"Confirmed","Total","Total","JRC"
"18","CN",2020-01-05,NA,NA,"Deaths","Total","Total","JRC"
"19","CN",2020-01-06,59,0,"Active","Total","Total","JRC"
"20","CN",2020-01-06,59,0,"Confirmed","Total","Total","JRC"
"21","CN",2020-01-06,NA,NA,"Deaths","Total","Total","JRC"
"22","CN",2020-01-07,59,0,"Active","Total","Total","JRC"
"23","CN",2020-01-07,59,0,"Confirmed","Total","Total","JRC"
"24","CN",2020-01-07,NA,NA,"Deaths","Total","Total","JRC"
"25","CN",2020-01-08,59,0,"Active","Total","Total","JRC"
"26","CN",2020-01-08,59,0,"Confirmed","Total","Total","JRC"
"27","CN",2020-01-08,NA,NA,"Deaths","Total","Total","JRC"
"28","CN",2020-01-09,59,0,"Active","Total","Total","JRC"
"29","CN",2020-01-09,59,0,"Confirmed","Total","Total","JRC"
"30","CN",2020-01-09,NA,NA,"Deaths","Total","Total","JRC"
"31","CN",2020-01-10,59,0,"Active","Total","Total","JRC"
"32","CN",2020-01-10,59,0,"Confirmed","Total","Total","JRC"
"33","CN",2020-01-10,NA,NA,"Deaths","Total","Total","JRC"
"34","CN",2020-01-11,58,-1,"Active","Total","Total","JRC"
"35","CN",2020-01-11,59,0,"Confirmed","Total","Total","JRC"
"36","CN",2020-01-11,1,1,"Deaths","Total","Total","JRC"
"37","CN",2020-01-12,58,0,"Active","Total","Total","JRC"
"38","CN",2020-01-12,59,0,"Confirmed","Total","Total","JRC"
"39","CN",2020-01-12,1,0,"Deaths","Total","Total","JRC"
"40","CN",2020-01-13,58,0,"Active","Total","Total","JRC"
"41","CN",2020-01-13,59,0,"Confirmed","Total","Total","JRC"
"42","CN",2020-01-13,1,0,"Deaths","Total","Total","JRC"
"43","CN",2020-01-14,58,0,"Active","Total","Total","JRC"
"44","CN",2020-01-14,59,0,"Confirmed","Total","Total","JRC"
"45","CN",2020-01-14,1,0,"Deaths","Total","Total","JRC"
"46","CN",2020-01-15,57,-1,"Active","Total","Total","JRC"
"47","CN",2020-01-15,59,0,"Confirmed","Total","Total","JRC"
"48","CN",2020-01-15,2,1,"Deaths","Total","Total","JRC"
"49","CN",2020-01-16,57,0,"Active","Total","Total","JRC"
"50","CN",2020-01-16,59,0,"Confirmed","Total","Total","JRC"
"51","CN",2020-01-16,2,0,"Deaths","Total","Total","JRC"
"52","CN",2020-01-17,61,4,"Active","Total","Total","JRC"
"53","CN",2020-01-17,63,4,"Confirmed","Total","Total","JRC"
"54","CN",2020-01-17,2,0,"Deaths","Total","Total","JRC"
"55","CN",2020-01-18,78,17,"Active","Total","Total","JRC"
"56","CN",2020-01-18,80,17,"Confirmed","Total","Total","JRC"
"57","CN",2020-01-18,2,0,"Deaths","Total","Total","JRC"
"58","CN",2020-01-19,213,135,"Active","Total","Total","JRC"
"59","CN",2020-01-19,216,136,"Confirmed","Total","Total","JRC"
"60","CN",2020-01-19,3,1,"Deaths","Total","Total","JRC"
"61","CN",2020-01-20,232,19,"Active","Total","Total","JRC"
"62","CN",2020-01-20,235,19,"Confirmed","Total","Total","JRC"
"63","CN",2020-01-20,3,0,"Deaths","Total","Total","JRC"
"64","CN",2020-01-21,380,148,"Active","Total","Total","JRC"
"65","CN",2020-01-21,386,151,"Confirmed","Total","Total","JRC"
"66","CN",2020-01-21,6,3,"Deaths","Total","Total","JRC"
"67","CN",2020-01-22,503,503,"Active","Total","Total","JHU"
"68","CN",2020-01-22,509,129,"Active","Total","Total","JRC"
"69","CN",2020-01-22,548,548,"Confirmed","Total","Total","JHU"
"70","CN",2020-01-22,526,140,"Confirmed","Total","Total","JRC"
"71","CN",2020-01-22,17,17,"Deaths","Total","Total","JHU"
"72","CN",2020-01-22,17,11,"Deaths","Total","Total","JRC"
"73","CN",2020-01-22,28,28,"Recovered","Total","Total","JHU"
"74","CN",2020-01-23,595,92,"Active","Total","Total","JHU"
