"ID","Date","Cases","Cases_New","Type","Age","Sex","Source"
"CN",2019-12-31,27,27,"Active","Total","Total","JRC"
"CN",2019-12-31,27,27,"Confirmed","Total","Total","JRC"
"CN",2019-12-31,NA,NA,"Deaths","Total","Total","JRC"
"CN",2020-01-01,27,0,"Active","Total","Total","JRC"
"CN",2020-01-01,27,0,"Confirmed","Total","Total","JRC"
"CN",2020-01-01,NA,NA,"Deaths","Total","Total","JRC"
"CN",2020-01-02,27,0,"Active","Total","Total","JRC"
"CN",2020-01-02,27,0,"Confirmed","Total","Total","JRC"
"CN",2020-01-02,NA,NA,"Deaths","Total","Total","JRC"
"CN",2020-01-03,44,17,"Active","Total","Total","JRC"
"CN",2020-01-03,44,17,"Confirmed","Total","Total","JRC"
"CN",2020-01-03,NA,NA,"Deaths","Total","Total","JRC"
"CN",2020-01-04,44,0,"Active","Total","Total","JRC"
"CN",2020-01-04,44,0,"Confirmed","Total","Total","JRC"
"CN",2020-01-04,NA,NA,"Deaths","Total","Total","JRC"
"CN",2020-01-05,59,15,"Active","Total","Total","JRC"
"CN",2020-01-05,59,15,"Confirmed","Total","Total","JRC"
"CN",2020-01-05,NA,NA,"Deaths","Total","Total","JRC"
"CN",2020-01-06,59,0,"Active","Total","Total","JRC"
"CN",2020-01-06,59,0,"Confirmed","Total","Total","JRC"
"CN",2020-01-06,NA,NA,"Deaths","Total","Total","JRC"
"CN",2020-01-07,59,0,"Active","Total","Total","JRC"
"CN",2020-01-07,59,0,"Confirmed","Total","Total","JRC"
"CN",2020-01-07,NA,NA,"Deaths","Total","Total","JRC"
"CN",2020-01-08,59,0,"Active","Total","Total","JRC"
"CN",2020-01-08,59,0,"Confirmed","Total","Total","JRC"
"CN",2020-01-08,NA,NA,"Deaths","Total","Total","JRC"
"CN",2020-01-09,59,0,"Active","Total","Total","JRC"
"CN",2020-01-09,59,0,"Confirmed","Total","Total","JRC"
"CN",2020-01-09,NA,NA,"Deaths","Total","Total","JRC"
"CN",2020-01-10,59,0,"Active","Total","Total","JRC"
"CN",2020-01-10,59,0,"Confirmed","Total","Total","JRC"
"CN",2020-01-10,NA,NA,"Deaths","Total","Total","JRC"
"CN",2020-01-11,58,-1,"Active","Total","Total","JRC"
"CN",2020-01-11,59,0,"Confirmed","Total","Total","JRC"
"CN",2020-01-11,1,1,"Deaths","Total","Total","JRC"
