"","ID","Date","PolicyType","PolicyValue","PolicyFlag","PolicyNotes","PolicySource"
"1463041","IT",2020-01-01,"C1",0,NA,NA,"OxCGRT"
"1463042","IT",2020-01-01,"C2",0,NA,NA,"OxCGRT"
"1463043","IT",2020-01-01,"C3",0,NA,NA,"OxCGRT"
"1463044","IT",2020-01-01,"C4",0,NA,NA,"OxCGRT"
"1463045","IT",2020-01-01,"C5",0,NA,NA,"OxCGRT"
"1463046","IT",2020-01-01,"C6",0,NA,NA,"OxCGRT"
"1463047","IT",2020-01-01,"C7",0,NA,NA,"OxCGRT"
"1463048","IT",2020-01-01,"C8",0,NA,NA,"OxCGRT"
"1463049","IT",2020-01-01,"E1",0,NA,NA,"OxCGRT"
"1463050","IT",2020-01-01,"E2",0,NA,NA,"OxCGRT"
"1463051","IT",2020-01-01,"E3",0,NA,NA,"OxCGRT"
"1463052","IT",2020-01-01,"E4",0,NA,NA,"OxCGRT"
"1463053","IT",2020-01-01,"H1",0,NA,NA,"OxCGRT"
"1463054","IT",2020-01-01,"H2",0,NA,NA,"OxCGRT"
"1463055","IT",2020-01-01,"H3",0,NA,NA,"OxCGRT"
"1463056","IT",2020-01-01,"H4",0,NA,NA,"OxCGRT"
"1463057","IT",2020-01-01,"H5",0,NA,NA,"OxCGRT"
"1463058","IT",2020-01-01,"H6",0,NA,"The pandemic first emerged on February 21 in the Italian region of Lombardy.    Source: http://web.archive.org/web/20200829130122/https://www.reuters.com/article/us-health-coronavirus-italy-masks/scramble-for-masks-as-italian-region-orders-coronavirus-cover-up-idUSKBN21O1Y0","OxCGRT"
"1463059","IT",2020-01-01,"H7",0,NA,NA,"OxCGRT"
"1463060","IT",2020-01-01,"I1",0,NA,NA,"OxCGRT"
"1463061","IT",2020-01-01,"I1D",0,NA,NA,"OxCGRT"
"1463062","IT",2020-01-01,"I2",0,NA,NA,"OxCGRT"
"1463063","IT",2020-01-01,"I2D",0,NA,NA,"OxCGRT"
"1463064","IT",2020-01-01,"I3",0,NA,NA,"OxCGRT"
"1463065","IT",2020-01-01,"I3D",0,NA,NA,"OxCGRT"
"1463066","IT",2020-01-01,"I4",0,NA,NA,"OxCGRT"
"1463067","IT",2020-01-01,"I4D",0,NA,NA,"OxCGRT"
"1463068","IT",2020-01-01,"I4L",0,NA,NA,"OxCGRT"
"1463069","IT",2020-01-01,"I4LD",0,NA,NA,"OxCGRT"
"1463070","IT",2020-01-01,"IC",NA,NA,NA,"OxCGRT"
"1463071","IT",2020-01-01,"ID",NA,NA,NA,"OxCGRT"
"1463072","IT",2020-01-01,"M1",NA,NA,NA,"OxCGRT"
"1463073","IT",2020-01-02,"C1",0,NA,NA,"OxCGRT"
"1463074","IT",2020-01-02,"C2",0,NA,NA,"OxCGRT"
"1463075","IT",2020-01-02,"C3",0,NA,NA,"OxCGRT"
"1463076","IT",2020-01-02,"C4",0,NA,NA,"OxCGRT"
"1463077","IT",2020-01-02,"C5",0,NA,NA,"OxCGRT"
"1463078","IT",2020-01-02,"C6",0,NA,NA,"OxCGRT"
"1463079","IT",2020-01-02,"C7",0,NA,NA,"OxCGRT"
"1463080","IT",2020-01-02,"C8",0,NA,NA,"OxCGRT"
"1463081","IT",2020-01-02,"E1",0,NA,NA,"OxCGRT"
"1463082","IT",2020-01-02,"E2",0,NA,NA,"OxCGRT"
"1463083","IT",2020-01-02,"E3",0,NA,NA,"OxCGRT"
"1463084","IT",2020-01-02,"E4",0,NA,NA,"OxCGRT"
"1463085","IT",2020-01-02,"H1",0,NA,NA,"OxCGRT"
"1463086","IT",2020-01-02,"H2",0,NA,NA,"OxCGRT"
"1463087","IT",2020-01-02,"H3",0,NA,NA,"OxCGRT"
"1463088","IT",2020-01-02,"H4",0,NA,NA,"OxCGRT"
"1463089","IT",2020-01-02,"H5",0,NA,NA,"OxCGRT"
"1463090","IT",2020-01-02,"H6",0,NA,NA,"OxCGRT"
"1463091","IT",2020-01-02,"H7",0,NA,NA,"OxCGRT"
"1463092","IT",2020-01-02,"I1",0,NA,NA,"OxCGRT"
"1463093","IT",2020-01-02,"I1D",0,NA,NA,"OxCGRT"
"1463094","IT",2020-01-02,"I2",0,NA,NA,"OxCGRT"
"1463095","IT",2020-01-02,"I2D",0,NA,NA,"OxCGRT"
"1463096","IT",2020-01-02,"I3",0,NA,NA,"OxCGRT"
"1463097","IT",2020-01-02,"I3D",0,NA,NA,"OxCGRT"
"1463098","IT",2020-01-02,"I4",0,NA,NA,"OxCGRT"
"1463099","IT",2020-01-02,"I4D",0,NA,NA,"OxCGRT"
"1463100","IT",2020-01-02,"I4L",0,NA,NA,"OxCGRT"
"1463101","IT",2020-01-02,"I4LD",0,NA,NA,"OxCGRT"
"1463102","IT",2020-01-02,"IC",NA,NA,NA,"OxCGRT"
"1463103","IT",2020-01-02,"ID",NA,NA,NA,"OxCGRT"
"1463104","IT",2020-01-02,"M1",NA,NA,NA,"OxCGRT"
"1463105","IT",2020-01-03,"C1",0,NA,NA,"OxCGRT"
"1463106","IT",2020-01-03,"C2",0,NA,NA,"OxCGRT"
"1463107","IT",2020-01-03,"C3",0,NA,NA,"OxCGRT"
"1463108","IT",2020-01-03,"C4",0,NA,NA,"OxCGRT"
"1463109","IT",2020-01-03,"C5",0,NA,NA,"OxCGRT"
"1463110","IT",2020-01-03,"C6",0,NA,NA,"OxCGRT"
"1463111","IT",2020-01-03,"C7",0,NA,NA,"OxCGRT"
"1463112","IT",2020-01-03,"C8",0,NA,NA,"OxCGRT"
"1463113","IT",2020-01-03,"E1",0,NA,NA,"OxCGRT"
"1463114","IT",2020-01-03,"E2",0,NA,NA,"OxCGRT"
"1463115","IT",2020-01-03,"E3",0,NA,NA,"OxCGRT"
"1463116","IT",2020-01-03,"E4",0,NA,NA,"OxCGRT"
"1463117","IT",2020-01-03,"H1",0,NA,NA,"OxCGRT"
"1463118","IT",2020-01-03,"H2",0,NA,NA,"OxCGRT"
"1463119","IT",2020-01-03,"H3",0,NA,NA,"OxCGRT"
"1463120","IT",2020-01-03,"H4",0,NA,NA,"OxCGRT"
"1463121","IT",2020-01-03,"H5",0,NA,NA,"OxCGRT"
"1463122","IT",2020-01-03,"H6",0,NA,NA,"OxCGRT"
"1463123","IT",2020-01-03,"H7",0,NA,NA,"OxCGRT"
"1463124","IT",2020-01-03,"I1",0,NA,NA,"OxCGRT"
"1463125","IT",2020-01-03,"I1D",0,NA,NA,"OxCGRT"
"1463126","IT",2020-01-03,"I2",0,NA,NA,"OxCGRT"
"1463127","IT",2020-01-03,"I2D",0,NA,NA,"OxCGRT"
"1463128","IT",2020-01-03,"I3",0,NA,NA,"OxCGRT"
"1463129","IT",2020-01-03,"I3D",0,NA,NA,"OxCGRT"
"1463130","IT",2020-01-03,"I4",0,NA,NA,"OxCGRT"
"1463131","IT",2020-01-03,"I4D",0,NA,NA,"OxCGRT"
"1463132","IT",2020-01-03,"I4L",0,NA,NA,"OxCGRT"
"1463133","IT",2020-01-03,"I4LD",0,NA,NA,"OxCGRT"
"1463134","IT",2020-01-03,"IC",NA,NA,NA,"OxCGRT"
"1463135","IT",2020-01-03,"ID",NA,NA,NA,"OxCGRT"
"1463136","IT",2020-01-03,"M1",NA,NA,NA,"OxCGRT"
"1463137","IT",2020-01-04,"C1",0,NA,NA,"OxCGRT"
"1463138","IT",2020-01-04,"C2",0,NA,NA,"OxCGRT"
"1463139","IT",2020-01-04,"C3",0,NA,NA,"OxCGRT"
"1463140","IT",2020-01-04,"C4",0,NA,NA,"OxCGRT"
"1463141","IT",2020-01-04,"C5",0,NA,NA,"OxCGRT"
"1463142","IT",2020-01-04,"C6",0,NA,NA,"OxCGRT"
"1463143","IT",2020-01-04,"C7",0,NA,NA,"OxCGRT"
"1463144","IT",2020-01-04,"C8",0,NA,NA,"OxCGRT"
"1463145","IT",2020-01-04,"E1",0,NA,NA,"OxCGRT"
"1463146","IT",2020-01-04,"E2",0,NA,NA,"OxCGRT"
"1463147","IT",2020-01-04,"E3",0,NA,NA,"OxCGRT"
"1463148","IT",2020-01-04,"E4",0,NA,NA,"OxCGRT"
"1463149","IT",2020-01-04,"H1",0,NA,NA,"OxCGRT"
"1463150","IT",2020-01-04,"H2",0,NA,NA,"OxCGRT"
"1463151","IT",2020-01-04,"H3",0,NA,NA,"OxCGRT"
"1463152","IT",2020-01-04,"H4",0,NA,NA,"OxCGRT"
"1463153","IT",2020-01-04,"H5",0,NA,NA,"OxCGRT"
"1463154","IT",2020-01-04,"H6",0,NA,NA,"OxCGRT"
"1463155","IT",2020-01-04,"H7",0,NA,NA,"OxCGRT"
"1463156","IT",2020-01-04,"I1",0,NA,NA,"OxCGRT"
"1463157","IT",2020-01-04,"I1D",0,NA,NA,"OxCGRT"
"1463158","IT",2020-01-04,"I2",0,NA,NA,"OxCGRT"
"1463159","IT",2020-01-04,"I2D",0,NA,NA,"OxCGRT"
"1463160","IT",2020-01-04,"I3",0,NA,NA,"OxCGRT"
"1463161","IT",2020-01-04,"I3D",0,NA,NA,"OxCGRT"
"1463162","IT",2020-01-04,"I4",0,NA,NA,"OxCGRT"
"1463163","IT",2020-01-04,"I4D",0,NA,NA,"OxCGRT"
"1463164","IT",2020-01-04,"I4L",0,NA,NA,"OxCGRT"
"1463165","IT",2020-01-04,"I4LD",0,NA,NA,"OxCGRT"
"1463166","IT",2020-01-04,"IC",NA,NA,NA,"OxCGRT"
"1463167","IT",2020-01-04,"ID",NA,NA,NA,"OxCGRT"
"1463168","IT",2020-01-04,"M1",NA,NA,NA,"OxCGRT"
"1463169","IT",2020-01-05,"C1",0,NA,NA,"OxCGRT"
"1463170","IT",2020-01-05,"C2",0,NA,NA,"OxCGRT"
"1463171","IT",2020-01-05,"C3",0,NA,NA,"OxCGRT"
"1463172","IT",2020-01-05,"C4",0,NA,NA,"OxCGRT"
"1463173","IT",2020-01-05,"C5",0,NA,NA,"OxCGRT"
"1463174","IT",2020-01-05,"C6",0,NA,NA,"OxCGRT"
"1463175","IT",2020-01-05,"C7",0,NA,NA,"OxCGRT"
"1463176","IT",2020-01-05,"C8",0,NA,NA,"OxCGRT"
"1463177","IT",2020-01-05,"E1",0,NA,NA,"OxCGRT"
"1463178","IT",2020-01-05,"E2",0,NA,NA,"OxCGRT"
"1463179","IT",2020-01-05,"E3",0,NA,NA,"OxCGRT"
"1463180","IT",2020-01-05,"E4",0,NA,NA,"OxCGRT"
"1463181","IT",2020-01-05,"H1",0,NA,NA,"OxCGRT"
"1463182","IT",2020-01-05,"H2",0,NA,NA,"OxCGRT"
"1463183","IT",2020-01-05,"H3",0,NA,NA,"OxCGRT"
"1463184","IT",2020-01-05,"H4",0,NA,NA,"OxCGRT"
"1463185","IT",2020-01-05,"H5",0,NA,NA,"OxCGRT"
"1463186","IT",2020-01-05,"H6",0,NA,NA,"OxCGRT"
"1463187","IT",2020-01-05,"H7",0,NA,NA,"OxCGRT"
"1463188","IT",2020-01-05,"I1",0,NA,NA,"OxCGRT"
"1463189","IT",2020-01-05,"I1D",0,NA,NA,"OxCGRT"
"1463190","IT",2020-01-05,"I2",0,NA,NA,"OxCGRT"
"1463191","IT",2020-01-05,"I2D",0,NA,NA,"OxCGRT"
"1463192","IT",2020-01-05,"I3",0,NA,NA,"OxCGRT"
"1463193","IT",2020-01-05,"I3D",0,NA,NA,"OxCGRT"
"1463194","IT",2020-01-05,"I4",0,NA,NA,"OxCGRT"
"1463195","IT",2020-01-05,"I4D",0,NA,NA,"OxCGRT"
"1463196","IT",2020-01-05,"I4L",0,NA,NA,"OxCGRT"
"1463197","IT",2020-01-05,"I4LD",0,NA,NA,"OxCGRT"
"1463198","IT",2020-01-05,"IC",NA,NA,NA,"OxCGRT"
"1463199","IT",2020-01-05,"ID",NA,NA,NA,"OxCGRT"
"1463200","IT",2020-01-05,"M1",NA,NA,NA,"OxCGRT"
"1463201","IT",2020-01-06,"C1",0,NA,NA,"OxCGRT"
"1463202","IT",2020-01-06,"C2",0,NA,NA,"OxCGRT"
"1463203","IT",2020-01-06,"C3",0,NA,NA,"OxCGRT"
"1463204","IT",2020-01-06,"C4",0,NA,NA,"OxCGRT"
"1463205","IT",2020-01-06,"C5",0,NA,NA,"OxCGRT"
"1463206","IT",2020-01-06,"C6",0,NA,NA,"OxCGRT"
"1463207","IT",2020-01-06,"C7",0,NA,NA,"OxCGRT"
"1463208","IT",2020-01-06,"C8",0,NA,NA,"OxCGRT"
"1463209","IT",2020-01-06,"E1",0,NA,NA,"OxCGRT"
"1463210","IT",2020-01-06,"E2",0,NA,NA,"OxCGRT"
"1463211","IT",2020-01-06,"E3",0,NA,NA,"OxCGRT"
"1463212","IT",2020-01-06,"E4",0,NA,NA,"OxCGRT"
"1463213","IT",2020-01-06,"H1",0,NA,NA,"OxCGRT"
"1463214","IT",2020-01-06,"H2",0,NA,NA,"OxCGRT"
"1463215","IT",2020-01-06,"H3",0,NA,NA,"OxCGRT"
"1463216","IT",2020-01-06,"H4",0,NA,NA,"OxCGRT"
"1463217","IT",2020-01-06,"H5",0,NA,NA,"OxCGRT"
"1463218","IT",2020-01-06,"H6",0,NA,NA,"OxCGRT"
"1463219","IT",2020-01-06,"H7",0,NA,NA,"OxCGRT"
"1463220","IT",2020-01-06,"I1",0,NA,NA,"OxCGRT"
"1463221","IT",2020-01-06,"I1D",0,NA,NA,"OxCGRT"
"1463222","IT",2020-01-06,"I2",0,NA,NA,"OxCGRT"
"1463223","IT",2020-01-06,"I2D",0,NA,NA,"OxCGRT"
"1463224","IT",2020-01-06,"I3",0,NA,NA,"OxCGRT"
"1463225","IT",2020-01-06,"I3D",0,NA,NA,"OxCGRT"
"1463226","IT",2020-01-06,"I4",0,NA,NA,"OxCGRT"
"1463227","IT",2020-01-06,"I4D",0,NA,NA,"OxCGRT"
"1463228","IT",2020-01-06,"I4L",0,NA,NA,"OxCGRT"
"1463229","IT",2020-01-06,"I4LD",0,NA,NA,"OxCGRT"
"1463230","IT",2020-01-06,"IC",NA,NA,NA,"OxCGRT"
"1463231","IT",2020-01-06,"ID",NA,NA,NA,"OxCGRT"
"1463232","IT",2020-01-06,"M1",NA,NA,NA,"OxCGRT"
"1463233","IT",2020-01-07,"C1",0,NA,NA,"OxCGRT"
"1463234","IT",2020-01-07,"C2",0,NA,NA,"OxCGRT"
"1463235","IT",2020-01-07,"C3",0,NA,NA,"OxCGRT"
"1463236","IT",2020-01-07,"C4",0,NA,NA,"OxCGRT"
"1463237","IT",2020-01-07,"C5",0,NA,NA,"OxCGRT"
"1463238","IT",2020-01-07,"C6",0,NA,NA,"OxCGRT"
"1463239","IT",2020-01-07,"C7",0,NA,NA,"OxCGRT"
"1463240","IT",2020-01-07,"C8",0,NA,NA,"OxCGRT"
"1463241","IT",2020-01-07,"E1",0,NA,NA,"OxCGRT"
"1463242","IT",2020-01-07,"E2",0,NA,NA,"OxCGRT"
"1463243","IT",2020-01-07,"E3",0,NA,NA,"OxCGRT"
