Date,Infected,Dead,Recovered
2020-08-20,654.0,6.0,180.0
2020-08-21,664.0,9.0,274.0
2020-08-22,825.0,3.0,243.0
2020-08-23,935.0,7.0,267.0
2020-08-24,757.0,4.0,192.0
2020-08-25,519.0,4.0,353.0
2020-08-26,1039.0,13.0,314.0
2020-08-27,1179.0,5.0,225.0
2020-08-28,1103.0,9.0,348.0
2020-08-29,1121.0,1.0,322.0
2020-08-30,1049.0,4.0,312.0
2020-08-31,873.0,6.0,117.0
2020-09-01,676.0,8.0,291.0
2020-09-02,1063.0,6.0,257.0
2020-09-03,1098.0,10.0,289.0
2020-09-04,1184.0,11.0,537.0
2020-09-05,1095.0,15.0,583.0
2020-09-06,884.0,8.0,405.0
2020-09-07,915.0,12.0,223.0
2020-09-08,796.0,10.0,563.0
2020-09-09,945.0,14.0,471.0
2020-09-10,974.0,10.0,613.0
2020-09-11,1059.0,10.0,547.0
2020-09-12,736.0,6.0,759.0
2020-09-13,1006.0,7.0,443.0
2020-09-14,678.0,14.0,316.0
2020-09-15,525.0,9.0,695.0
2020-09-16,820.0,12.0,620.0
2020-09-17,881.0,13.0,689.0
2020-09-18,1044.0,10.0,853.0
2020-09-19,704.0,24.0,909.0
2020-09-20,937.0,15.0,635.0
2020-09-21,981.0,17.0,352.0
2020-09-22,410.0,14.0,967.0
2020-09-23,625.0,20.0,995.0
2020-09-24,666.0,23.0,1097.0
2020-09-25,938.0,20.0,954.0
2020-09-26,875.0,17.0,977.0
2020-09-27,1025.0,17.0,724.0
2020-09-28,705.0,16.0,773.0
2020-09-29,307.0,24.0,1316.0
2020-09-30,633.0,19.0,1198.0
2020-10-01,1384.0,24.0,1140.0
2020-10-02,1350.0,23.0,1126.0
2020-10-03,1569.0,27.0,1247.0
2020-10-04,1863.0,18.0,697.0
2020-10-05,1474.0,16.0,767.0
2020-10-06,1231.0,28.0,1418.0
2020-10-07,2442.0,31.0,1204.0
2020-10-08,3376.0,22.0,1060.0
2020-10-09,4158.0,28.0,1186.0
2020-10-10,4719.0,29.0,976.0
2020-10-11,4246.0,26.0,1184.0
2020-10-12,3689.0,39.0,891.0
2020-10-13,4429.0,41.0,1428.0
2020-10-14,5252.0,43.0,2037.0
2020-10-15,6821.0,83.0,1899.0
2020-10-16,8046.0,55.0,1908.0
2020-10-17,9623.0,47.0,1255.0
2020-10-18,9302.0,69.0,2334.0
2020-10-19,7766.0,73.0,1498.0
2020-10-20,8736.0,89.0,2046.0
2020-10-21,12703.0,127.0,2369.0
2020-10-22,13860.0,136.0,2082.0
2020-10-23,16700.0,91.0,2352.0
2020-10-24,17180.0,151.0,2309.0
2020-10-25,19059.0,128.0,2086.0
2020-10-26,14443.0,141.0,2423.0
2020-10-27,18406.0,221.0,3362.0
2020-10-28,21367.0,205.0,3416.0
2020-10-29,22734.0,217.0,3878.0
2020-10-30,26595.0,199.0,4285.0
2020-10-31,25600.0,297.0,5859.0
2020-11-01,26743.0,208.0,2954.0
