Date,Infected,Dead,Recovered
2020-01-22,503.0,17.0,28.0
2020-01-23,595.0,18.0,30.0
2020-01-24,858.0,26.0,36.0
2020-01-25,1325.0,42.0,39.0
2020-01-26,1970.0,56.0,49.0
2020-01-27,2737.0,82.0,58.0
2020-01-28,5277.0,131.0,101.0
2020-01-29,5834.0,133.0,120.0
2020-01-30,7835.0,171.0,135.0
2020-01-31,9375.0,213.0,214.0
2020-02-01,11357.0,259.0,275.0
2020-02-02,15806.0,361.0,463.0
2020-02-03,18677.0,425.0,614.0
2020-02-04,22373.0,491.0,843.0
2020-02-05,25762.0,563.0,1115.0
2020-02-06,28477.0,633.0,1477.0
2020-02-07,31393.0,718.0,1999.0
2020-02-08,33413.0,805.0,2596.0
2020-02-09,35705.0,905.0,3219.0
2020-02-10,37424.0,1012.0,3918.0
2020-02-11,38638.0,1112.0,4636.0
2020-02-12,38560.0,1117.0,5082.0
2020-02-13,52309.0,1369.0,6217.0
2020-02-14,56860.0,1521.0,7977.0
2020-02-15,57452.0,1663.0,9298.0
2020-02-16,57992.0,1766.0,10755.0
2020-02-17,58108.0,1864.0,12462.0
2020-02-18,58002.0,2003.0,14206.0
2020-02-19,56541.0,2116.0,15962.0
2020-02-20,54825.0,2238.0,18014.0
2020-02-21,54608.0,2238.0,18704.0
2020-02-22,51859.0,2443.0,22699.0
2020-02-23,51390.0,2445.0,23187.0
2020-02-24,49631.0,2595.0,25015.0
2020-02-25,47413.0,2665.0,27676.0
2020-02-26,45365.0,2717.0,30084.0
2020-02-27,42924.0,2746.0,32930.0
2020-02-28,39809.0,2790.0,36329.0
2020-02-29,37199.0,2837.0,39320.0
2020-03-01,34898.0,2872.0,42162.0
2020-03-02,32368.0,2914.0,44854.0
2020-03-03,29864.0,2947.0,47450.0
2020-03-04,27402.0,2983.0,50001.0
2020-03-05,25230.0,3015.0,52292.0
2020-03-06,23702.0,3044.0,53944.0
2020-03-07,22159.0,3072.0,55539.0
2020-03-08,20335.0,3100.0,57388.0
2020-03-09,18933.0,3123.0,58804.0
2020-03-10,17567.0,3139.0,60181.0
2020-03-11,16116.0,3161.0,61644.0
2020-03-12,14859.0,3172.0,62901.0
2020-03-13,13569.0,3180.0,64196.0
2020-03-14,12124.0,3193.0,65660.0
2020-03-15,10783.0,3203.0,67017.0
