"I","R","D"
166,0,6
231,0,9
249,0,9
349,40,14
474,40,17
552,40,23
887,73,24
1077,139,38
1326,139,55
1497,250,73
1777,376,98
2008,469,135
2742,524,154
3372,550,267
4490,646,333
4427,896,468
5763,900,617
6896,1085,744
7732,1198,890
9059,1660,966
10043,2011,1218
10861,2368,1420
12095,2485,1640
12266,3488,1959
13938,3778,2168
15420,4295,2549
17370,5050,3095
17885,5865,3456
18910,6075,3776
19868,6657,4178
20591,7281,4474
22189,7839,4861
23895,8001,5402
24509,8962,5944
25392,9255,6360
25006,10337,6818
25124,10885,7199
25765,11415,7593
25876,12229,7960
26189,13020,8311
27220,13242,8656
28124,13426,8905
28469,13863,9202
28343,14498,9484
28545,15147,9722
29074,15706,10022
29530,16280,10238
30258,16823,10511
31265,17166,10621
31935,17478,10901
32363,17821,11142
32921,17855,11377
33090,18396,11608
33434,18850,11851
34195,19136,12050
34497,19526,12213
34587,20008,12376
33978,21374,12579
34242,22110,12740
33873,23352,12940
34368,23782,13106
34473,24227,13269
35166,24398,13325
35441,24589,13449
35744,25029,13575
36122,25333,13679
36211,25749,13772
36473,26136,13860
36667,26146,14189
36926,26371,14231
37307,26504,14294
37092,27124,14389
31753,33005,14611
32015,33329,14745
31983,33901,14839
30262,36039,14924
30190,36331,14986
30411,36406,15054
30675,37113,15116
30032,38081,15185
29956,38568,15296
27746,40962,15411
27679,41389,15450
27430,41895,15519
27073,42403,15543
27291,42593,15597
26671,43442,15662
26715,43649,15727
25933,44667,15784
25630,45355,15840
25614,45656,15840
25215,46169,15874
24477,47044,15896
24037,47810,15954
22913,49296,15974
22683,49842,16012
21809,50870,16079
20996,51860,16112
20861,52026,16131
20255,52807,16143
20224,53046,16172
20224,53101,16201
19853,53853,16222
19499,54322,16249
19420,54505,16270
19319,54768,16302
18297,55967,16317
17857,56474,16349
17340,57218,16374
17024,57775,16405
16785,58201,16428
15989,59220,16449
15976,59484,16457
15233,60361,16466
14972,60850,16480
14647,61355,16516
14045,62096,16534
13911,62372,16557
13843,62555,16570
13638,62900,16573
12903,63691,16579
12227,64448,16586
11992,64831,16608
11640,65323,16624
10992,66046,16626
10947,66175,16639
10823,66376,16640
10060,67197,16644
9938,67422,16650
9827,67610,16671
9677,67871,16675
9426,68201,16691
9445,68274,16697
9492,68335,16700
9074,68793,16713
8460,69466,16725
8357,69683,16730
8341,69828,16736
8212,70020,16740
8004,70297,16748
8011,70375,16757
7952,70461,16760
7535,70936,16765
7509,71032,16775
7421,71172,16778
7255,71416,16788
7240,71464,16788
7141,71611,16796
7010,71775,16797
6975,71860,16798
6941,71973,16801
6759,72208,16801
6775,72271,16801
6771,72349,16801
6725,72429,16801
6678,72528,16802
6563,72689,16802
6035,73305,16802
6011,73402,16806
5955,73512,16807
5821,73676,16815
5795,73724,16818
5752,73810,16819
5823,73872,16824
5728,74080,16829
5645,74232,16829
5547,74403,16832
5588,74432,16833
5547,74504,16833
5514,74605,16833
5521,74700,16833
5539,74754,16835
5377,75012,16836
5357,75125,16837
5377,75163,16840
5335,75248,16840
5314,75319,16840
5322,75398,16844
5423,75449,16846
5494,75546,16852
5576,75649,16852
5782,75678,16856
5864,75705,16857
5787,75901,16857
5969,75988,16857
6225,76018,16857
6454,76102,16860
6645,76200,16860
6829,76248,16863
6952,76258,16865
7082,76368,16867
7278,76407,16869
7445,76467,16870
7669,76574,16876
7922,76708,16877
8031,76794,16880
8110,76818,16886
8221,76976,16888
8324,77088,16891
8452,77204,16892
8591,77318,16896
8567,77611,16896
8789,77651,16899
8848,77715,16901
8799,77938,16903
8804,78090,16905
8934,78240,16906
9027,78369,16908
8935,78695,16917
9007,78829,16922
9076,78849,16923
9027,79078,16925
9104,79197,16925
9048,79472,16935
9171,79624,16937
9087,79960,16941
9237,80021,16946
9334,80041,16948
9099,80476,16951
9060,80712,16955
9167,80924,16960
9166,81228,16964
9162,81620,16969
9361,81733,16971
9532,81811,16973
9509,82184,16973
9877,82331,16978
10406,82484,16979
11128,82744,16980
12022,82988,16982
12849,83190,16985
13379,83353,16988
14256,83550,16994
15218,84415,17011
17050,84624,17037
19128,84958,17044
21625,85112,17057
23294,86397,17078
24634,86738,17084
26304,87072,17103
29890,87591,17123
33518,88059,17152
37950,88536,17159
42685,88706,17210
47983,89145,17235
50325,90356,17252
54884,90774,17310
61406,91763,17357
67884,92567,17414
75229,94134,17462
82011,96198,17535
90075,96687,17589
94418,97576,17635
98566,100115,17752
104733,101610,17848
112524,102502,17987
117366,107463,18118
127629,108581,18226
132410,110001,18343
131459,115630,18442
135505,122410,18571
141918,124025,18723
142793,132254,18910
151269,134294,19028
156279,137255,19186
162541,138872,19367
152339,153103,19466
156567,157121,19668
152083,169056,19850
155580,172847,20015
159641,177832,20190
162685,183472,20359
164406,186680,20524
149918,206317,20664
148760,212175,20850
138029,227924,21005
140401,231042,21212
130555,246096,21393
130315,250832,21512
132627,251588,21647
125408,260528,21855
121033,268702,22104
118796,274189,22279
118331,278058,22626
116702,284073,22773
115756,288056,22884
116379,289706,23024
116000,291591,23080
111829,297290,23208
89903,320380,23277
87243,324961,23449
87449,327561,23581
85066,332595,23666
86349,333503,23810
78321,342409,23877
75890,347130,23991
69733,356175,24097
68041,360529,24165
68210,363044,24225
67653,365440,24330
68781,366058,24379
61314,374434,24420
61144,376790,24512
60239,379750,24610
57908,384670,24677
58710,386391,24782
59622,387049,24818
59327,387761,24867
54765,392854,24909
54418,393995,24958
52996,397010,25038
54623,399157,25123
55312,401444,25203
56010,402070,25281
56955,402798,25317
52687,407902,25344
52317,409548,25406
52691,412034,25498
54242,413248,25532
54677,414643,25665
55437,416326,25728
57798,417173,25787
54507,421890,25849
54415,423074,25903
54963,424720,25954
56100,426098,26026
57154,427181,26094
57998,428393,26172
56142,431787,26237
53564,435509,26282
53461,436485,26339
53698,438058,26405
53055,440880,26460
53215,442631,26518
52468,444809,26622
53004,445604,26666
49977,450069,26712
48968,452231,26789
49038,454392,26851
