"I","R","D"
32,0,1
42,0,1
69,0,2
109,0,2
149,0,2
189,0,2
261,0,2
271,0,2
297,7,3
345,9,6
380,17,10
454,22,12
505,25,13
623,29,18
694,30,20
783,47,26
940,54,29
1297,55,32
1453,100,42
1775,107,55
1989,120,63
2274,130,69
2488,136,80
2953,167,94
3169,200,115
3677,223,131
4214,257,146
4644,309,169
4986,327,192
5351,381,216
5745,439,258
6140,508,287
6648,536,313
6913,655,362
7251,715,392
7564,747,413
7850,828,477
8224,902,499
8578,1001,532
8861,1031,572
9093,1124,607
9409,1186,631
9722,1204,662
9965,1265,695
10171,1503,736
10449,1728,756
10647,1981,793
10749,2188,831
10729,2492,856
10766,2603,882
10736,2790,906
10789,2895,940
10800,3209,981
10618,3730,1026
10444,4189,1059
10210,4638,1087
10061,4954,1112
10077,5173,1154
9991,5566,1181
9925,5750,1206
9679,6306,1244
9432,6671,1288
9138,7018,1315
8860,7375,1344
8601,7699,1408
8369,8019,1437
8147,8354,1459
7779,8840,1479
7431,9291,1502
7299,9503,1516
7234,9611,1528
7116,9741,1545
6789,10122,1568
6534,10430,1589
6187,10804,1627
5877,11151,1643
5591,11474,1657
5460,11615,1666
5190,11906,1686
5020,12081,1712
4718,12384,1743
4439,12688,1762
4162,12983,1783
4041,13106,1794
4004,13143,1803
3754,13423,1820
3532,13666,1832
3286,13911,1841
3023,14182,1854
2841,14363,1865
2660,14557,1869
2578,14641,1878
2431,14788,1886
2287,14931,1895
2025,15202,1898
1849,15379,1906
1612,15618,1916
1500,15734,1918
1468,15768,1918
1403,15838,1921
1387,15856,1921
1319,15915,1934
1229,16007,1938
1164,16069,1949
1085,16144,1954
1080,16152,1955
1004,16226,1961
965,16268,1961
922,16313,1964
849,16383,1967
778,16457,1977
772,16469,1978
755,16487,1978
718,16521,1982
680,16558,1987
607,16632,1994
582,16655,1998
575,16661,2002
583,16660,2002
585,16659,2003
564,16682,2004
549,16700,2004
527,16724,2006
487,16768,2007
482,16775,2007
460,16807,2008
462,16808,2008
462,16812,2012
418,16849,2022
397,16890,2022
390,16901,2023
388,16907,2023
388,16915,2023
384,16919,2024
385,16922,2034
386,16928,2034
392,16929,2037
394,16936,2039
398,16942,2039
408,16948,2039
412,16950,2039
427,16952,2041
438,16960,2043
455,16968,2047
502,16976,2047
525,16985,2049
567,16990,2050
609,16990,2050
624,16994,2053
643,17007,2057
657,17010,2062
685,17011,2063
705,17021,2064
722,17023,2064
734,17027,2064
754,17026,2069
784,17034,2073
891,17039,2073
1000,17046,2074
1001,17090,2075
1034,17102,2075
1051,17106,2076
1065,17111,2077
1067,17150,2077
1097,17178,2077
1215,17242,2078
1228,17287,2083
1240,17333,2083
1257,17336,2083
1300,17356,2085
1333,17376,2092
1385,17406,2094
1470,17447,2095
