"ID","Date","Cases","Cases_New","Type","Age","Sex","Source"
"FR",2020-01-22,0,0,"Active","Total","Total","JHU"
"FR",2020-01-22,0,0,"Confirmed","Total","Total","JHU"
"FR",2020-01-22,0,0,"Deaths","Total","Total","JHU"
"FR",2020-01-22,0,0,"Recovered","Total","Total","JHU"
"FR",2020-01-23,0,0,"Active","Total","Total","JHU"
"FR",2020-01-23,0,0,"Confirmed","Total","Total","JHU"
"FR",2020-01-23,0,0,"Deaths","Total","Total","JHU"
"FR",2020-01-23,0,0,"Recovered","Total","Total","JHU"
"FR",2020-01-24,2,2,"Active","Total","Total","JHU"
"FR",2020-01-24,3,3,"Active","Total","Total","JRC"
"FR",2020-01-24,2,2,"Confirmed","Total","Total","JHU"
"FR",2020-01-24,3,3,"Confirmed","Total","Total","JRC"
"FR",2020-01-24,0,0,"Deaths","Total","Total","JHU"
"FR",2020-01-24,0,0,"Deaths","Total","Total","JRC"
"FR",2020-01-24,3,3,"Hospitalized","Total","Total","JRC"
"FR",2020-01-24,0,0,"ICU","Total","Total","JRC"
"FR",2020-01-24,0,0,"Recovered","Total","Total","JHU"
"FR",2020-01-24,0,0,"Recovered","Total","Total","JRC"
"FR",2020-01-25,3,1,"Active","Total","Total","JHU"
"FR",2020-01-25,3,0,"Active","Total","Total","JRC"
"FR",2020-01-25,3,1,"Confirmed","Total","Total","JHU"
"FR",2020-01-25,3,0,"Confirmed","Total","Total","JRC"
"FR",2020-01-25,0,0,"Deaths","Total","Total","JHU"
"FR",2020-01-25,0,0,"Deaths","Total","Total","JRC"
"FR",2020-01-25,3,0,"Hospitalized","Total","Total","JRC"
"FR",2020-01-25,0,0,"ICU","Total","Total","JRC"
"FR",2020-01-25,0,0,"Recovered","Total","Total","JHU"
"FR",2020-01-25,0,0,"Recovered","Total","Total","JRC"
"FR",2020-01-26,3,0,"Active","Total","Total","JHU"
"FR",2020-01-26,3,0,"Active","Total","Total","JRC"
"FR",2020-01-26,3,0,"Confirmed","Total","Total","JHU"
"FR",2020-01-26,3,0,"Confirmed","Total","Total","JRC"
"FR",2020-01-26,0,0,"Deaths","Total","Total","JHU"
"FR",2020-01-26,0,0,"Deaths","Total","Total","JRC"
"FR",2020-01-26,3,0,"Hospitalized","Total","Total","JRC"
"FR",2020-01-26,0,0,"ICU","Total","Total","JRC"
"FR",2020-01-26,0,0,"Recovered","Total","Total","JHU"
"FR",2020-01-26,0,0,"Recovered","Total","Total","JRC"
"FR",2020-01-27,3,0,"Active","Total","Total","JHU"
"FR",2020-01-27,3,0,"Active","Total","Total","JRC"
"FR",2020-01-27,3,0,"Confirmed","Total","Total","JHU"
"FR",2020-01-27,3,0,"Confirmed","Total","Total","JRC"
"FR",2020-01-27,0,0,"Deaths","Total","Total","JHU"
"FR",2020-01-27,0,0,"Deaths","Total","Total","JRC"
"FR",2020-01-27,3,0,"Hospitalized","Total","Total","JRC"
"FR",2020-01-27,0,0,"ICU","Total","Total","JRC"
"FR",2020-01-27,0,0,"Recovered","Total","Total","JHU"
"FR",2020-01-27,0,0,"Recovered","Total","Total","JRC"
"FR",2020-01-28,4,1,"Active","Total","Total","JHU"
"FR",2020-01-28,4,1,"Active","Total","Total","JRC"
"FR",2020-01-28,4,1,"Confirmed","Total","Total","JHU"
"FR",2020-01-28,4,1,"Confirmed","Total","Total","JRC"
"FR",2020-01-28,0,0,"Deaths","Total","Total","JHU"
"FR",2020-01-28,0,0,"Deaths","Total","Total","JRC"
"FR",2020-01-28,4,1,"Hospitalized","Total","Total","JRC"
"FR",2020-01-28,0,0,"ICU","Total","Total","JRC"
"FR",2020-01-28,0,0,"Recovered","Total","Total","JHU"
"FR",2020-01-28,0,0,"Recovered","Total","Total","JRC"
"FR",2020-01-29,5,1,"Active","Total","Total","JHU"
"FR",2020-01-29,5,1,"Active","Total","Total","JRC"
"FR",2020-01-29,5,1,"Confirmed","Total","Total","JHU"
"FR",2020-01-29,5,1,"Confirmed","Total","Total","JRC"
"FR",2020-01-29,0,0,"Deaths","Total","Total","JHU"
