Date,Infected,Dead,Recovered
2020-02-24,7,1,4
2020-02-25,2,1,11
2020-02-26,5,2,11
2020-02-27,25,2,11
2020-02-28,44,2,11
2020-02-29,86,2,12
2020-03-01,116,2,12
2020-03-02,176,3,12
2020-03-03,196,4,12
2020-03-04,269,4,12
2020-03-05,404,7,12
2020-03-06,592,9,12
2020-03-07,910,16,12
2020-03-08,1084,19,12
2020-03-09,1364,25,12
2020-03-10,1728,33,12
2020-03-11,2221,48,12
2020-03-12,2221,48,12
2020-03-13,3570,79,12
2020-03-14,4366,91,12
2020-03-15,4396,91,12
2020-03-16,6473,148,12
2020-03-17,7492,148,12
2020-03-18,8883,148,12
2020-03-19,10616,243,12
2020-03-20,12150,450,12
2020-03-21,13708,562,12
2020-03-22,13659,674,2200
2020-03-23,16796,860,2200
2020-03-24,17711,1100,3243
2020-03-25,19736,1331,3900
2020-03-26,22213,1695,4948
2020-03-27,24915,1994,5700
2020-03-28,29151,2311,5700
2020-03-29,29956,2603,7202
2020-03-30,33082,3020,7927
2020-03-31,38618,3517,9444
2020-04-01,40661,4767,10934
2020-04-02,40600,5376,12428
2020-04-03,43084,6496,14008
2020-04-04,23497,7548,15438
2020-04-05,23050,8066,16183
2020-04-06,23785,8899,17250
2020-04-07,16748,10315,19337
2020-04-08,18132,10856,21254
2020-04-09,18601,12196,23206
2020-04-10,17425,13181,24932
2020-04-11,16765,13816,26391
2020-04-12,66149,14377,27186
2020-04-13,68168,14950,27718
2020-04-14,84067,15693,28512
2020-04-15,83907,17129,30440
2020-04-16,93856,17882,32297
2020-04-17,93420,18642,33834
2020-04-18,95021,19283,35379
2020-04-19,95111,19668,35973
2020-04-20,96201,20214,36782
2020-04-21,96542,20736,38543
2020-04-22,96335,21280,39988
2020-04-23,92671,21796,41414
2020-04-24,93753,22185,42715
2020-04-25,93925,22554,43816
2020-04-26,93986,22796,44125
2020-04-27,96626,23233,44733
2020-04-28,98053,23600,45997
2020-04-29,94829,24026,47338
2020-04-30,94439,24315,48572
2020-05-01,94014,24532,49300
2020-05-02,94157,24729,49751
2020-05-03,94052,24862,49973
2020-05-04,93799,25168,50438
2020-05-05,93166,25498,51803
2020-05-06,95802,25772,53022
2020-05-07,95192,25950,54076
2020-05-08,94781,26192,54770
2020-05-09,94975,26271,54886
2020-05-10,94935,26341,55062
2020-05-11,94478,26604,55569
2020-05-12,93762,26951,56617
2020-05-13,93388,27034,57368
2020-05-14,92670,27383,58300
2020-05-15,92209,27485,59143
2020-05-16,92417,27581,59142
2020-05-17,91279,28064,59907
2020-05-18,91041,28193,60416
2020-05-19,90921,27976,61246
2020-05-20,90701,28085,61713
2020-05-21,90369,28167,62216
2020-05-22,90572,28315,62557
2020-05-23,90675,28401,62893
2020-05-24,90130,28319,62961
2020-05-25,89734,28408,63542
2020-05-26,89113,28545,64222
2020-05-27,88969,28546,64503
2020-05-28,91590,28612,65098
2020-05-29,91580,28663,65599
2020-05-30,92837,28720,66051
2020-05-31,92943,28751,66123
2020-06-01,93086,28780,66120
2020-06-02,91894,28886,66485
2020-06-03,88017,28967,67031
2020-06-04,91765,29011,67510
2020-06-05,91745,29056,68007
2020-06-06,91961,29087,68282
2020-06-07,92238,29100,68283
2020-06-08,92309,29154,68319
2020-06-09,92291,29239,68736
2020-06-10,92451,29260,69032
2020-06-11,92409,29287,69344
2020-06-12,92786,29315,69578
2020-06-13,92921,29339,69783
2020-06-14,93150,29347,69820
2020-06-15,93275,29375,69719
2020-06-16,93485,29487,69943
2020-06-17,93521,29512,70223
2020-06-18,93714,29540,70322
2020-06-19,94071,29554,70496
2020-06-20,94324,29570,70641
2020-06-21,94363,29575,70661
2020-06-22,94359,29597,70737
2020-06-23,94653,29651,70952
2020-06-24,94456,29662,71138
2020-06-25,94255,29679,71322
2020-06-26,95013,29704,71550
2020-06-27,95362,29704,71455
2020-06-28,94952,29704,71455
2020-06-29,95059,29736,71595
2020-06-30,95077,29763,71714
2020-07-01,95578,29781,71879
2020-07-02,95743,29794,72054
2020-07-03,96001,29812,72181
2020-07-04,96090,29812,72092
2020-07-05,96090,29812,72092
2020-07-06,96779,29838,72233
2020-07-07,96960,29847,72363
2020-07-08,97689,29877,72133
2020-07-09,97729,29890,72408
2020-07-10,98259,29914,72396
2020-07-11,98455,29914,72200
2020-07-12,98455,29914,72200
2020-07-13,99641,29934,72180
2020-07-14,99903,29934,71918
2020-07-15,100589,30020,71774
2020-07-16,100873,30036,71910
2020-07-17,101488,30049,71979
2020-07-18,101828,30049,71639
2020-07-19,101828,30049,71639
2020-07-20,103743,30071,71494
2020-07-21,104334,30057,71382
2020-07-22,105340,30063,71238
2020-07-23,105959,30073,71618
2020-07-24,106660,30082,71811
2020-07-25,106905,30082,71566
2020-07-26,106905,30082,71566
2020-07-27,109226,30098,71497
2020-07-28,109560,30110,71667
2020-07-29,110956,30123,71597
2020-07-30,112145,30139,71643
2020-07-31,113329,30150,71656
2020-08-01,113474,30150,71511
2020-08-02,113474,30150,71511
2020-08-03,116914,30179,71258
2020-08-04,117921,30180,71152
2020-08-05,119202,30188,71484
2020-08-06,120593,30192,71613
2020-08-07,122632,30204,71766
2020-08-08,122813,30204,71585
2020-08-09,122813,30204,71585
2020-08-10,127448,30218,71537
2020-08-11,128855,30231,71454
2020-08-12,130812,30248,71906
2020-08-13,133546,30264,71730
2020-08-14,135936,30281,72023
2020-08-15,139118,30282,71971
2020-08-16,142081,30283,71971
2020-08-17,142387,30302,72072
2020-08-18,144495,30323,72003
2020-08-19,148254,30340,71945
2020-08-20,152995,30351,71868
2020-08-21,156808,30374,72535
2020-08-22,160147,30382,72600
2020-08-23,164584,30382,72623
2020-08-24,166262,30397,72793
2020-08-25,169145,30416,73082
2020-08-26,169207,30416,73020
2020-08-27,179817,30448,73433
2020-08-28,186963,30465,73501
2020-08-29,192515,30471,73279
2020-08-30,197801,30474,73279
2020-08-31,200311,30501,73537
2020-09-01,204995,30525,73727
2020-09-02,211554,30547,73946
2020-09-03,218215,30564,74156
2020-09-04,226659,30542,74377
2020-09-05,235594,30553,73866
2020-09-06,242500,30555,73866
2020-09-07,246216,30578,74223
2020-09-08,252288,30616,74569
2020-09-09,259515,30643,74867
2020-09-10,268934,30661,74991
2020-09-11,277806,30740,75308
2020-09-12,288205,30757,75308
2020-09-13,294464,30761,75308
2020-09-14,300675,30795,75139
2020-09-15,307875,30844,75477
2020-09-16,317114,30889,75921
2020-09-17,327055,30936,75880
2020-09-18,339288,31090,76583
2020-09-19,352630,31115,76583
2020-09-20,363155,31126,76583
2020-09-21,367729,31179,77254
2020-09-22,376916,31256,77757
2020-09-23,388874,31283,77757
2020-09-24,405185,31333,77214
2020-09-25,420326,31483,77692
2020-09-26,434474,31522,77692
2020-09-27,445063,31549,77692
2020-09-28,448898,31630,77846
2020-09-29,455817,31701,78678
