Date,Infected,Dead,Recovered
2020-02-24,221.0,7.0,1.0
2020-02-25,311.0,10.0,1.0
2020-02-26,385.0,12.0,3.0
2020-02-27,588.0,17.0,45.0
2020-02-28,821.0,21.0,46.0
2020-02-29,1049.0,29.0,50.0
2020-03-01,1577.0,34.0,83.0
2020-03-02,1835.0,52.0,149.0
2020-03-03,2263.0,79.0,160.0
2020-03-04,2706.0,107.0,276.0
2020-03-05,3296.0,148.0,414.0
2020-03-06,3916.0,197.0,523.0
2020-03-07,5061.0,233.0,589.0
2020-03-08,6387.0,366.0,622.0
2020-03-09,7985.0,463.0,724.0
2020-03-10,8514.0,631.0,1004.0
2020-03-11,10590.0,827.0,1045.0
2020-03-12,12839.0,1016.0,1258.0
2020-03-13,14955.0,1266.0,1439.0
2020-03-14,17750.0,1441.0,1966.0
2020-03-15,20603.0,1809.0,2335.0
2020-03-16,23073.0,2158.0,2749.0
2020-03-17,26062.0,2503.0,2941.0
2020-03-18,28710.0,2978.0,4025.0
2020-03-19,33190.0,3405.0,4440.0
2020-03-20,37860.0,4032.0,5129.0
2020-03-21,42681.0,4825.0,6072.0
2020-03-22,46638.0,5476.0,7024.0
2020-03-23,50418.0,6077.0,7432.0
2020-03-24,54030.0,6820.0,8326.0
2020-03-25,57521.0,7503.0,9362.0
2020-03-26,62013.0,8165.0,10361.0
2020-03-27,66414.0,9134.0,10950.0
2020-03-28,70065.0,10023.0,12384.0
2020-03-29,73880.0,10779.0,13030.0
2020-03-30,75528.0,11591.0,14620.0
2020-03-31,77635.0,12428.0,15729.0
2020-04-01,80572.0,13155.0,16847.0
2020-04-02,83049.0,13915.0,18278.0
2020-04-03,85388.0,14681.0,19758.0
2020-04-04,88274.0,15362.0,20996.0
2020-04-05,91246.0,15887.0,21815.0
2020-04-06,93187.0,16523.0,22837.0
2020-04-07,94067.0,17127.0,24392.0
2020-04-08,95262.0,17669.0,26491.0
2020-04-09,96877.0,18279.0,28470.0
2020-04-10,98273.0,18849.0,30455.0
2020-04-11,100269.0,19468.0,32534.0
2020-04-12,102253.0,19899.0,34211.0
2020-04-13,103616.0,20465.0,35435.0
2020-04-14,104291.0,21067.0,37130.0
2020-04-15,105418.0,21645.0,38092.0
2020-04-16,106607.0,22170.0,40164.0
2020-04-17,106962.0,22745.0,42727.0
2020-04-18,107771.0,23227.0,44927.0
2020-04-19,108257.0,23660.0,47055.0
2020-04-20,108237.0,24114.0,48877.0
2020-04-21,107709.0,24648.0,51600.0
2020-04-22,107699.0,25085.0,54543.0
2020-04-23,106848.0,25549.0,57576.0
2020-04-24,106527.0,25969.0,60498.0
2020-04-25,105847.0,26384.0,63120.0
2020-04-26,106103.0,26644.0,64928.0
2020-04-27,105813.0,26977.0,66624.0
2020-04-28,105205.0,27359.0,68941.0
2020-04-29,104657.0,27682.0,71252.0
2020-04-30,101551.0,27967.0,75945.0
2020-05-01,100943.0,28236.0,78249.0
2020-05-02,100704.0,28710.0,79914.0
2020-05-03,100179.0,28884.0,81654.0
2020-05-04,99980.0,29079.0,82879.0
2020-05-05,98467.0,29315.0,85231.0
2020-05-06,91528.0,29684.0,93245.0
2020-05-07,89624.0,29958.0,96276.0
2020-05-08,87961.0,30201.0,99023.0
2020-05-09,84842.0,30395.0,103031.0
2020-05-10,83324.0,30560.0,105186.0
2020-05-11,82488.0,30739.0,106587.0
2020-05-12,81266.0,30911.0,109039.0
2020-05-13,78457.0,31106.0,112541.0
2020-05-14,76440.0,31368.0,115288.0
2020-05-15,72070.0,31610.0,120205.0
2020-05-16,70187.0,31763.0,122810.0
2020-05-17,68351.0,31908.0,125176.0
2020-05-18,66553.0,32007.0,127326.0
2020-05-19,65129.0,32169.0,129401.0
2020-05-20,62752.0,32330.0,132282.0
2020-05-21,60960.0,32486.0,134560.0
2020-05-22,59322.0,32616.0,136720.0
2020-05-23,57752.0,32735.0,138840.0
2020-05-24,56594.0,32785.0,140479.0
2020-05-25,55300.0,32877.0,141981.0
2020-05-26,52942.0,32955.0,144658.0
2020-05-27,50966.0,33072.0,147101.0
2020-05-28,47986.0,33142.0,150604.0
2020-05-29,46175.0,33229.0,152844.0
2020-05-30,43691.0,33340.0,155633.0
2020-05-31,42097.0,33415.0,157507.0
2020-06-01,41367.0,33475.0,158355.0
2020-06-02,39893.0,33530.0,160092.0
2020-06-03,39297.0,33601.0,160938.0
2020-06-04,38429.0,33689.0,161895.0
2020-06-05,36976.0,33774.0,163781.0
2020-06-06,35877.0,33846.0,165078.0
2020-06-07,35262.0,33899.0,165837.0
2020-06-08,34730.0,33964.0,166584.0
2020-06-09,32872.0,34043.0,168646.0
2020-06-10,31710.0,34114.0,169939.0
2020-06-11,30637.0,34167.0,171338.0
2020-06-12,28997.0,34223.0,173085.0
2020-06-13,27485.0,34301.0,174865.0
2020-06-14,26274.0,34345.0,176370.0
2020-06-15,25909.0,34371.0,177010.0
2020-06-16,24569.0,34405.0,178526.0
2020-06-17,23925.0,34448.0,179455.0
2020-06-18,23101.0,34514.0,180544.0
2020-06-19,21543.0,34561.0,181907.0
2020-06-20,21212.0,34610.0,182453.0
2020-06-21,20972.0,34634.0,182893.0
2020-06-22,20637.0,34657.0,183426.0
2020-06-23,19573.0,34675.0,184585.0
2020-06-24,18655.0,34644.0,186111.0
2020-06-25,18303.0,34678.0,186725.0
2020-06-26,17638.0,34708.0,187615.0
2020-06-27,16836.0,34716.0,188584.0
2020-06-28,16681.0,34738.0,188891.0
2020-06-29,16496.0,34744.0,189196.0
2020-06-30,15563.0,34767.0,190248.0
2020-07-01,15255.0,34788.0,190717.0
2020-07-02,15060.0,34818.0,191083.0
2020-07-03,14884.0,34833.0,191467.0
2020-07-04,14621.0,34854.0,191944.0
2020-07-05,14642.0,34861.0,192108.0
2020-07-06,14709.0,34869.0,192241.0
2020-07-07,14242.0,34899.0,192815.0
2020-07-08,13595.0,34914.0,193640.0
2020-07-09,13459.0,34926.0,193978.0
2020-07-10,13428.0,34938.0,194273.0
2020-07-11,13303.0,34945.0,194579.0
2020-07-12,13179.0,34954.0,194928.0
2020-07-13,13157.0,34967.0,195106.0
